accion,marca,sucursal,base,color,mantener_id,mantener_codigo,vaciar_id,vaciar_codigo,stock_a_mover,ventas26_mantener,ventas26_vaciar
FUSIONAR,PASSER,PAO4,629,NEGRO,57429,629-02,57425,629,0,12,0
FUSIONAR,PASSER,PAO4,632,CARAMELO,57770,6320,57755,632,0,0,0
FUSIONAR,PASSER,PAO4,632,NEGRO,57774,6320,57760,632,0,2,0
FUSIONAR,PASSER,PAO4,648,NEGRO,58473,648-02,58469,648,0,6,0
FUSIONAR,PASSER,PAO4,658,CARAMELO,59013,658-16,59005,658,0,13,0
FUSIONAR,PASSER,PAO4,658,NEGRO,135332,658-02,59010,658,0,10,1
FUSIONAR,PASSER,PAO4,677,CARAMELO,59956,677-16,59943,677,0,10,0
FUSIONAR,PASSER,PAO4,677,NEGRO,135336,677-02,59948,677,0,10,0
FUSIONAR,PASSER,PAO4,717,NEGRO,135339,717-02,61408,717,0,14,0
FUSIONAR,PASSER,PAO4,775,NEGRO,135362,775-02,63313,775,0,2,0
FUSIONAR,PASSER,PAO4,812,BLANCO,64998,812-01,64988,812,2,8,1
FUSIONAR,PASSER,PAO4,812,NEGRO,65002,812-02,64993,812,2,8,0
FUSIONAR,PASSER,PAO4,908,CAFE,71188,908,71200,908 08,0,0,0
FUSIONAR,PASSER,PAO4,914,CAFE,71547,914 08,71533,914,0,0,0
FUSIONAR,PASSER,PAO4,914,NEGRO,71544,914 02,71541,914,0,0,0
FUSIONAR,PASSER,PAO4,915,NEGRO,71578,915-02,71572,915,0,5,0
FUSIONAR,PASSER,PAO4,921,NEGRO,71753,921-02,71751,921,0,11,0
FUSIONAR,UNISPORT,EDEL,3054,NEGRO,31930,30540,31920,3054,0,0,0
FUSIONAR,UNISPORT,EDEL,3073,NEGRO,32061,307300,32050,3073,0,0,0
FUSIONAR,UNISPORT,EDEL,9004,NEGRO,70555,9004-20,70552,9004-02,0,0,0
FUSIONAR,UNISPORT,EDEL,9004,NEGRO,70555,9004-20,70547,9004,0,0,0
FUSIONAR,UNISPORT,EDEL,9831,NEGRO FULL,73465,9831 20,73456,9831,0,0,0
FUSIONAR,UNISPORT,EDEL,9831,NEGRO/BLANCO,73469,9831 20,73459,9831,0,0,0
FUSIONAR,UNISPORT,EDEL,9879,NEGRO,73643,9879-20,73640,9879-02,0,0,0
FUSIONAR,UNISPORT,EDEL,9879,NEGRO,73643,9879-20,73637,9879,0,0,0
FUSIONAR,UNISPORT,PAO1,3054,NEGRO,31923,3054,31931,30540,11,2,0
FUSIONAR,UNISPORT,PAO1,3073,NEGRO,32053,3073,137745,3073,0,1,1
FUSIONAR,UNISPORT,PAO1,3073,NEGRO,32053,3073,32062,307300,0,1,0
FUSIONAR,UNISPORT,PAO1,9831,NEGRO/BLANCO,73471,9831 20,73460,9831,0,0,0
FUSIONAR,UNISPORT,PAO2,3054,NEGRO,31924,3054,31932,30540,15,3,0
FUSIONAR,UNISPORT,PAO2,3073,NEGRO,32054,3073,32063,307300,0,1,1
FUSIONAR,UNISPORT,PAO2,9004,NEGRO,70556,9004-20,70553,9004-02,8,2,1
FUSIONAR,UNISPORT,PAO2,9004,NEGRO,70556,9004-20,70549,9004,2,2,0
FUSIONAR,UNISPORT,PAO2,9831,NEGRO FULL,73467,9831 20,73457,9831,0,0,0
FUSIONAR,UNISPORT,PAO2,9831,NEGRO/BLANCO,73472,9831 20,73461,9831,0,0,0
FUSIONAR,UNISPORT,PAO2,9879,NEGRO,73641,9879-02,73638,9879,1,3,3
FUSIONAR,UNISPORT,PAO2,9879,NEGRO,73641,9879-02,73644,9879-20,8,3,0
FUSIONAR,UNISPORT,PAO3,3054,NEGRO,31921,3054,31933,30540,4,4,0
FUSIONAR,UNISPORT,PAO3,3073,NEGRO,32051,3073,32064,307300,0,1,0
FUSIONAR,UNISPORT,PAO3,9004,NEGRO,70557,9004-20,70554,9004-02,2,6,3
FUSIONAR,UNISPORT,PAO3,9004,NEGRO,70557,9004-20,70550,9004,0,6,0
FUSIONAR,UNISPORT,PAO3,9831,NEGRO FULL,73468,9831 20,73458,9831,0,0,0
FUSIONAR,UNISPORT,PAO3,9831,NEGRO/BLANCO,73473,9831 20,73462,9831,0,0,0
FUSIONAR,UNISPORT,PAO3,9879,NEGRO,73642,9879-02,73639,9879,0,2,0
FUSIONAR,UNISPORT,PAO4,3054,NEGRO,31922,3054,31934,30540,0,1,0
FUSIONAR,UNISPORT,PAO4,9004,NEGRO,70558,9004-20,70551,9004,0,2,0
