sku,producto_talla_id,sucursal_id,sucursal_alias,sucursal_nombre,articulo,talla,stock_legacy,stock_lotes,stock_kardex,ajuste_necesario,direccion
4799321,405137,7,NICK2,,DV4342-300,"8,5",2,1,4,-1,DISMINUIR
4776921,89748,7,NICK2,,2.40.38,Xl,4,5,10,1,AUMENTAR
4799509,16862,7,NICK2,,1014057901,00,20,37,74,17,AUMENTAR
4803436,16868,7,NICK2,,1014057944,00,11,15,32,4,AUMENTAR
4808417,203170,7,NICK2,,451017300,M,1,1,3,0,SIN_CAMBIO
4769769,2026,7,NICK2,,02-601,00,3,0,4,-3,DISMINUIR
4780578,16796,7,NICK2,,1014019413,00,61,26,97,-35,DISMINUIR
4803997,563266,7,NICK2,,V25,00,2,23,27,21,AUMENTAR
4817964,519086,7,NICK2,,PH0605,00,1,3,5,2,AUMENTAR
4810067,413640,7,NICK2,,EGOTIKO STELLAR PRO,10,1,0,2,-1,DISMINUIR
4814761,398454,7,NICK2,,DEPBOMBRP005,00,1,1,4,0,SIN_CAMBIO
4820430,119307,7,NICK2,,252060L-BKPK,33,1,0,2,-1,DISMINUIR
4799510,16800,7,NICK2,,1014019444,00,42,11,62,-31,DISMINUIR
4814408,372658,7,NICK2,,CAMISETA RECAMBIO,M,2,1,4,-1,DISMINUIR
4821152,496929,7,NICK2,,KFEP-NLR 32MM,00,4,7,14,3,AUMENTAR
4827962,453042,7,NICK2,,GUANTE FITNESS,S,1,2,4,1,AUMENTAR
4760686,315433,7,NICK2,,9.55.15,S,51,14,76,-37,DISMINUIR
4803090,405272,7,NICK2,,DV4344-400,10,2,1,4,-1,DISMINUIR
4789881,335324,7,NICK2,,ACCB014,00,2,2,5,0,SIN_CAMBIO
4824608,451245,7,NICK2,,GR-RI-12303,40,4,4,9,0,SIN_CAMBIO
4793239,22172,7,NICK2,,110025,S,4,3,16,-1,DISMINUIR
4421664,511336,7,NICK2,,MSCOIN45-C,00,20,2,25,-18,DISMINUIR
4828093,53274,7,NICK2,,1379774-001,M,3,3,7,0,SIN_CAMBIO
4799593,553230,7,NICK2,,SX5728-010,L,13,24,43,11,AUMENTAR
4750928,104560,2,PAO1,,21JS35,36,2,1,4,-1,DISMINUIR
4809720,541504,2,PAO1,,S410E1153-RS,20,1,0,2,-1,DISMINUIR
4742037,547061,2,PAO1,,SJ-2,41,6,4,12,-2,DISMINUIR
4712487,97000,2,PAO1,,20XH14,41,6,5,12,-1,DISMINUIR
4809682,541435,2,PAO1,,S410D1165-AM,28,1,0,2,-1,DISMINUIR
4723841,138648,2,PAO1,,302430L-GYMT,31,0,1,1,1,AUMENTAR
4806754,495822,2,PAO1,,K22853-Y0,33,2,2,4,0,SIN_CAMBIO
4701058,462506,2,PAO1,,H-91,37,9,7,17,-2,DISMINUIR
4790808,114062,2,PAO1,,232478-BBK,43,1,0,2,-1,DISMINUIR
4801219,463065,2,PAO1,,H01,40,2,1,4,-1,DISMINUIR
252189,318298,2,PAO1,,908,41,3,1,6,-2,DISMINUIR
4825941,95632,2,PAO1,,2083,41,1,0,2,-1,DISMINUIR
4806127,588045,2,PAO1,,ZX1577,39,2,1,4,-1,DISMINUIR
4687941,465560,2,PAO1,,H8,00,2,2,5,0,SIN_CAMBIO
4832650,600140,6,NICK1,,DA001/A 2026,M,9,0,10,-9,DISMINUIR
4812281,185633,6,NICK1,,400139N-BKSL,21,2,1,4,-1,DISMINUIR
4826766,16015,6,NICK1,,100251859,"9,0",1,2,4,1,AUMENTAR
4812220,145388,6,NICK1,,303573N-BLK,23,2,0,4,-2,DISMINUIR
4821174,507531,6,NICK1,,MEDIA POLYESTER ECO AD,00,37,43,82,6,AUMENTAR
4812117,114628,6,NICK1,,232714-BKLM,46,1,0,2,-1,DISMINUIR
4827323,376039,6,NICK1,,CD7782-602,"5,5",4,3,8,-1,DISMINUIR
4701283,553324,6,NICK1,,SX7664-010,M,33,37,71,4,AUMENTAR
4827053,445195,6,NICK1,,GORRO CDA,00,15,20,38,5,AUMENTAR
4798735,479703,6,NICK1,,IE1023,"9,5",3,2,6,-1,DISMINUIR
4821169,507532,6,NICK1,,MEDIA POLYESTER ECO JR,00,41,52,98,11,AUMENTAR
4744591,51021,6,NICK1,,1361561-432,S,2,1,4,-1,DISMINUIR
4813233,406040,6,NICK1,,DV5457-002,13,2,2,4,0,SIN_CAMBIO
4827124,467849,6,NICK1,,HJ8485-602,"9,5",2,1,4,-1,DISMINUIR
4815962,507542,6,NICK1,,MEDIA POLYESTER ECO JUV,00,41,54,98,13,AUMENTAR
4801250,464123,4,PAO3,,H09,41,4,3,9,-1,DISMINUIR
4816109,246720,4,PAO3,,5B06-1,37,1,0,2,-1,DISMINUIR
4764451,273253,4,PAO3,,7-DECO-2,38,2,3,6,1,AUMENTAR
4801233,463399,4,PAO3,,H03,42,6,5,12,-1,DISMINUIR
4813518,316129,4,PAO3,,9013-02,40,1,0,2,-1,DISMINUIR
4801297,461696,4,PAO3,,H-116,37,1,0,2,-1,DISMINUIR
4823234,142491,4,PAO3,,3027-04,37,1,0,2,-1,DISMINUIR
4760540,71714,4,PAO3,,161-5353,25,1,0,2,-1,DISMINUIR
4813385,228303,4,PAO3,,52458-WHT,41,1,1,3,0,SIN_CAMBIO
4781146,279638,4,PAO3,,73690-BBK,"38,5",1,0,2,-1,DISMINUIR
4784316,485597,4,PAO3,,IK8360,M,4,5,10,1,AUMENTAR
4811262,171862,4,PAO3,,373-0072,40,1,0,2,-1,DISMINUIR
4822628,535092,4,PAO3,,R1905,37,1,0,2,-1,DISMINUIR
4796423,522167,4,PAO3,,PI-14313300000277,38,1,0,2,-1,DISMINUIR
4776606,522099,4,PAO3,,PI-14313300000241,37,4,2,7,-2,DISMINUIR
4811038,188926,4,PAO3,,403694L-BBK,38,2,2,5,0,SIN_CAMBIO
4813496,201543,4,PAO3,,4421-16,37,1,1,3,0,SIN_CAMBIO
4826307,287007,4,PAO3,,801-01,35,2,1,4,-1,DISMINUIR
4783658,110264,4,PAO3,,23-18005-02,38,2,1,4,-1,DISMINUIR
4813797,378557,4,PAO3,,CHL62101-90,37,1,1,3,0,SIN_CAMBIO
4697646,272784,4,PAO3,,699,39,2,0,4,-2,DISMINUIR
4711202,553451,4,PAO3,,SX7667-100,L,10,10,22,0,SIN_CAMBIO
4781766,177564,4,PAO3,,384-0621,38,1,0,2,-1,DISMINUIR
4771859,477331,4,PAO3,,IC1311,M,19,19,39,0,SIN_CAMBIO
4810239,490048,4,PAO3,,JD9556,00,15,13,29,-2,DISMINUIR
4823826,67716,5,PAO4,,155506-BKRG,"36,5",2,1,4,-1,DISMINUIR
4804669,297205,5,PAO4,,8224.826.9830-15745,40,1,0,2,-1,DISMINUIR
4776368,280363,5,PAO4,,7377.102.21949.16579,36,2,1,4,-1,DISMINUIR
4820208,40396,5,PAO4,,1290.532.7286-15745,36,2,2,5,0,SIN_CAMBIO
4823572,212654,5,PAO4,,489-6877,35,1,0,2,-1,DISMINUIR
4791065,141323,5,PAO4,,302604L-WHT,29,1,0,2,-1,DISMINUIR
4814318,16585,5,PAO4,,101-9597,24,1,1,3,0,SIN_CAMBIO
4820184,28734,5,PAO4,,1184.1101.29960-41,38,1,0,2,-1,DISMINUIR
4744021,202783,5,PAO4,,45-1,00,1138,949,2135,-189,DISMINUIR
4804422,31984,5,PAO4,,12-HOT-70,38,1,0,2,-1,DISMINUIR
4788761,332146,5,PAO4,,A07181-1,37,1,0,2,-1,DISMINUIR
4693427,247856,5,PAO4,,5CE177,38,1,0,2,-1,DISMINUIR
4774819,114162,5,PAO4,,232591-BBK,42,1,0,2,-1,DISMINUIR
4807947,27380,5,PAO4,,117550-QUAL,"39,5",1,0,2,-1,DISMINUIR
4812079,27502,5,PAO4,,117560-WHT,39,1,0,2,-1,DISMINUIR
4414196,428269,5,PAO4,,FT173-430X3-90A,32,3,2,6,-1,DISMINUIR
4745782,239534,5,PAO4,,581-0445,37,3,2,6,-1,DISMINUIR
4818560,144772,5,PAO4,,303535L-BKMT,33,2,1,4,-1,DISMINUIR
4808782,450025,3,PAO2,,GR-NBA-12245,44,1,0,2,-1,DISMINUIR
4778718,315441,3,PAO2,,9.65.00,M,5,4,10,-1,DISMINUIR
4820638,304144,3,PAO2,,8461TL3005,12,2,1,4,-1,DISMINUIR
4801161,89563,3,PAO2,,2.20.01,00,10,10,21,0,SIN_CAMBIO
4817245,530628,3,PAO2,,PPS-02,00,16,16,33,0,SIN_CAMBIO
4798173,534642,3,PAO2,,R.10.0,XS,2,1,4,-1,DISMINUIR
4692666,225253,3,PAO2,,5207016101010,00,21,30,55,9,AUMENTAR
4772982,416552,3,PAO2,,F.00.09,S,1,1,2,0,SIN_CAMBIO
4826806,226307,3,PAO2,,520890510,M,5,4,10,-1,DISMINUIR
4750950,104484,3,PAO2,,21JS29,40,2,1,4,-1,DISMINUIR
4750956,104485,3,PAO2,,21JS29,40,1,0,2,-1,DISMINUIR
4718377,553566,3,PAO2,,SX7670-901,M,3,7,11,4,AUMENTAR
4754728,578731,3,PAO2,,X18250-62-90,37,2,1,4,-1,DISMINUIR
4777875,90054,3,PAO2,,2.90.13,00,35,13,50,-22,DISMINUIR
4784812,501219,3,PAO2,,M.20.50,00,5,6,12,1,AUMENTAR
4794835,286578,3,PAO2,,8-TANDA-200,40,1,0,2,-1,DISMINUIR
4810017,89868,3,PAO2,,2.70.70,00,8,7,17,-1,DISMINUIR
4820539,110860,3,PAO2,,23-JAVA-2,37,1,0,2,-1,DISMINUIR
4806356,241443,3,PAO2,,5835,37,1,0,2,-1,DISMINUIR
4828547,233726,3,PAO2,,551-6396,37,1,2,4,1,AUMENTAR
4819617,172593,3,PAO2,,375689 02,"1,0",2,1,4,-1,DISMINUIR
4819903,288418,3,PAO2,,804-0111,33,3,2,6,-1,DISMINUIR
4744214,476623,3,PAO2,,I9691,41,1,0,2,-1,DISMINUIR
4811481,193753,3,PAO2,,405097L-BKYL,36,2,1,4,-1,DISMINUIR
4798439,554286,3,PAO2,,T122,42,2,1,4,-1,DISMINUIR
4820649,296470,3,PAO2,,82223U-N84,"8,5",2,0,5,-2,DISMINUIR
4777865,216640,3,PAO2,,5.30.01,L,3,2,6,-1,DISMINUIR
4821977,362987,3,PAO2,,BOLSO BOTINERO,00,8,8,17,0,SIN_CAMBIO
4820761,246795,3,PAO2,,5B10-10,37,2,1,4,-1,DISMINUIR
4756413,225218,3,PAO2,,5207015198981,00,4,4,10,0,SIN_CAMBIO
4818455,379309,3,PAO2,,CINTILLO KASUP,00,5,7,15,2,AUMENTAR
4789355,90077,3,PAO2,,2.90.73,00,1,26,28,25,AUMENTAR
4812221,145390,3,PAO2,,303573N-BLK,24,2,0,3,-2,DISMINUIR
4797347,225139,3,PAO2,,52070151,00,33,22,66,-11,DISMINUIR
4750042,457569,3,PAO2,,GY0155,11,1,0,2,-1,DISMINUIR
4817101,488595,7,NICK2,,J0619-1,31,3,2,7,-1,DISMINUIR
4789466,507301,7,NICK2,,MB70203,00,18,15,35,-3,DISMINUIR
4770698,16759,7,NICK2,,1014017944,00,51,54,123,3,AUMENTAR
4815954,282913,7,NICK2,,7603,S,7,12,24,5,AUMENTAR
4810630,490265,7,NICK2,,JE8342,00,6,9,16,3,AUMENTAR
4748207,32239,7,NICK2,,1201,10,8,9,19,1,AUMENTAR
4817778,15191,7,NICK2,,100209617,"2,0",2,1,4,-1,DISMINUIR
4790546,415509,7,NICK2,,ENVIOS,00,674,774,509,100,AUMENTAR
4826690,15609,7,NICK2,,100232573,"7,0",1,0,2,-1,DISMINUIR
4760688,315427,7,NICK2,,9.55.15,L,15,32,56,17,AUMENTAR
4775483,16821,7,NICK2,,1014027920,00,35,43,80,8,AUMENTAR
4818286,427288,7,NICK2,,FQ8313-800,"3,0",2,1,4,-1,DISMINUIR
4822017,357565,7,NICK2,,BANDA CADERA WORK OUT,00,4,4,9,0,SIN_CAMBIO
4813255,424170,7,NICK2,,FD6454-001,"9,5",2,0,4,-2,DISMINUIR
4803987,488724,7,NICK2,,J0628-1,31,1,0,2,-1,DISMINUIR
4826479,90057,7,NICK2,,2.90.14,00,75,74,167,-1,DISMINUIR
4827437,365773,7,NICK2,,BS28-0,33,1,1,3,0,SIN_CAMBIO
4757433,384143,7,NICK2,,CODERA Y RODILLERA,00,11,11,23,0,SIN_CAMBIO
4818440,345996,7,NICK2,,ASIMETRIX SPINE AD,"9,0",1,1,3,0,SIN_CAMBIO
4805586,53783,7,NICK2,,1382911-408,M,5,0,8,-5,DISMINUIR
4802263,16750,7,NICK2,,1014017911,00,10,22,36,12,AUMENTAR
4810046,580970,7,NICK2,,XT-004AC,00,4,7,12,3,AUMENTAR
4818255,470814,7,NICK2,,HM0283-001,"9,5",2,1,4,-1,DISMINUIR
4770397,516876,7,NICK2,,PANTALON MOYA,00,4,1,7,-3,DISMINUIR
4770697,16753,7,NICK2,,1014017913,00,40,0,53,-40,DISMINUIR
4778431,16816,7,NICK2,,1014027911,00,15,20,36,5,AUMENTAR
4785480,89532,7,NICK2,,2.00.73,00,5,8,15,3,AUMENTAR
4821034,474268,7,NICK2,,HT3448,M,7,8,16,1,AUMENTAR
4692658,226640,7,NICK2,,5211201800008,00,2,3,6,1,AUMENTAR
4775370,89723,7,NICK2,,2.40.32,Xl,3,2,7,-1,DISMINUIR
4790081,511517,7,NICK2,,MSMVR-2.3,00,1,0,2,-1,DISMINUIR
4798178,534649,7,NICK2,,R.10.01,S,2,18,23,16,AUMENTAR
4698822,5538,7,NICK2,,066143441414,00,18,17,39,-1,DISMINUIR
4775357,89733,7,NICK2,,2.40.36,XXS,3,0,5,-3,DISMINUIR
4810631,486164,7,NICK2,,IS7065,00,8,11,20,3,AUMENTAR
4828277,510174,7,NICK2,,MO21650,00,52,58,113,6,AUMENTAR
4779700,454543,7,NICK2,,GW3020,"8,5",1,1,3,0,SIN_CAMBIO
4778356,510328,7,NICK2,,MO21850,00,21,21,46,0,SIN_CAMBIO
4775482,16809,7,NICK2,,1014027902,00,11,2,22,-9,DISMINUIR
4775481,16802,7,NICK2,,1014027901,00,21,14,48,-7,DISMINUIR
4821119,485727,7,NICK2,,IN6128,00,24,11,36,-13,DISMINUIR
4793237,22174,7,NICK2,,110025,S,4,5,17,1,AUMENTAR
4745709,508187,7,NICK2,,MI34666,00,49,50,100,1,AUMENTAR
4798011,171641,7,NICK2,,372427730,37,1,0,2,-1,DISMINUIR
4788615,2003,7,NICK2,,019228,"7,5",8,7,16,-1,DISMINUIR
4779519,510386,7,NICK2,,MO21939,"7,0",86,11,98,-75,DISMINUIR
4784647,315479,7,NICK2,,9.70.18,00,2,1,5,-1,DISMINUIR
4773799,403984,7,NICK2,,DR5938-810,10,1,0,2,-1,DISMINUIR
4775479,16739,7,NICK2,,1014017901,00,50,7,83,-43,DISMINUIR
4806889,391592,7,NICK2,,D-PX-283313,00,25,46,72,21,AUMENTAR
4801582,103980,7,NICK2,,2196991OG-1,29,3,2,6,-1,DISMINUIR
4824417,79102,7,NICK2,,1806,"7,0",2,1,5,-1,DISMINUIR
4824202,444259,7,NICK2,,GH8166,S,3,2,7,-1,DISMINUIR
4807876,402864,7,NICK2,,DN3614-420,M,10,9,20,-1,DISMINUIR
4770701,16768,7,NICK2,,1014019213,00,62,32,97,-30,DISMINUIR
4409805,467543,7,NICK2,,HG01,00,52,53,114,1,AUMENTAR
4781506,16757,7,NICK2,,1014017920,00,49,25,78,-24,DISMINUIR
4767958,546917,7,NICK2,,SI-02,40,1,0,2,-1,DISMINUIR
4797080,372927,7,NICK2,,CAS-02B,S,8,7,18,-1,DISMINUIR
4809986,427112,7,NICK2,,FQ8284-400,"3,5",1,0,2,-1,DISMINUIR
4715052,363366,7,NICK2,,BQ3198-001,"7,5",1,0,2,-1,DISMINUIR
4818445,569430,7,NICK2,,VORTEX SPINE,"8,0",1,0,2,-1,DISMINUIR
4797991,16881,7,NICK2,,1014077944,00,44,53,100,9,AUMENTAR
4778426,17241,7,NICK2,,102046004,"4,0",64,65,130,1,AUMENTAR
4823478,518088,7,NICK2,,PELOTA TACA-TACA,00,160,184,373,24,AUMENTAR
4800079,398622,7,NICK2,,DEPVOLACC053,00,35,36,76,1,AUMENTAR
4770706,16869,7,NICK2,,1014067901,00,17,29,55,12,AUMENTAR
4819518,253154,7,NICK2,,6.00.38,00,1,1,3,0,SIN_CAMBIO
4421027,510245,7,NICK2,,MO21761,00,25,62,88,37,AUMENTAR
4817967,519228,7,NICK2,,PH831,00,66,78,157,12,AUMENTAR
4809743,398568,7,NICK2,,DEPFUTGUA03,"9,0",1,1,3,0,SIN_CAMBIO
4770707,16874,7,NICK2,,1014067944,00,28,50,81,22,AUMENTAR
4820461,119338,7,NICK2,,252061L-BKPK,31,1,1,3,0,SIN_CAMBIO
4800331,223887,7,NICK2,,5205192027025,"3,0",26,39,68,13,AUMENTAR
4813324,470956,7,NICK2,,HM9862-001,"9,5",3,0,4,-3,DISMINUIR
4812756,488875,7,NICK2,,J0705-2,36,2,1,4,-1,DISMINUIR
4827631,426863,7,NICK2,,FQ1833-012,"9,0",3,0,5,-3,DISMINUIR
4826376,143527,7,NICK2,,3028409-100,38,1,0,2,-1,DISMINUIR
4801765,93182,2,PAO1,,2026,22,3,1,5,-2,DISMINUIR
4780605,128209,2,PAO1,,2918,30,1,0,2,-1,DISMINUIR
4814882,464285,2,PAO1,,H11,41,2,1,4,-1,DISMINUIR
