style,familia,existe_en_RM,pedido_2027,stock_actual,venta_ttm,venta_90d,veredicto
401491L,SKECHERS METEOR-LIGHTS 3.0,False,39,0,0,0,NOVEDAD -> validar por familia
190225,E'CLYPSE LITE,False,36,0,0,0,NOVEDAD -> validar por familia
310818L,UNO LITE,False,36,0,0,0,NOVEDAD -> validar por familia
405145L,MAX RUN,False,36,0,0,0,NOVEDAD -> validar por familia
404820L,BOUNDLESS,False,36,0,0,0,NOVEDAD -> validar por familia
401491N,SKECHERS METEOR-LIGHTS 3.0,False,36,0,0,0,NOVEDAD -> validar por familia
407640N,PLAY SCENE 2.0,False,36,0,0,0,NOVEDAD -> validar por familia
150877,D'LITES,False,30,0,0,0,NOVEDAD -> validar por familia
150384,FASHION FIT 2.0,True,30,77,13,11,SOBRE-STOCK 71m -> RECORTAR (post 99m)
168206,EASY GOING,False,30,0,0,0,NOVEDAD -> validar por familia
404127L,MICROSPEC VELOCITY,False,30,0,0,0,NOVEDAD -> validar por familia
237669,MAX PROTECT,False,30,0,0,0,NOVEDAD -> validar por familia
304210L,SKECHERS ELITE SPORT PULSE,False,27,0,0,0,NOVEDAD -> validar por familia
404206L,MAX CUSHIONING GLIDE-STEP,False,27,0,0,0,NOVEDAD -> validar por familia
150413,CONTOUR FOAM,False,24,0,0,0,NOVEDAD -> validar por familia
304553L,PIXEL KICKS,False,24,0,0,0,NOVEDAD -> validar por familia
304057L,EDGERIDE,False,24,0,0,0,NOVEDAD -> validar por familia
304066N,BOUNDER,False,24,0,0,0,NOVEDAD -> validar por familia
403917L,BOUNDER,False,24,0,0,0,NOVEDAD -> validar por familia
400142N,FLEX-GLOW PLUS,False,24,0,0,0,NOVEDAD -> validar por familia
183403,ARCH FIT COURT BREAK,False,24,0,0,0,NOVEDAD -> validar por familia
118478,BOBS SQUAD LO,False,24,0,0,0,NOVEDAD -> validar por familia
11930,D'LITES,True,15,47,27,2,SOBRE-STOCK 21m -> RECORTAR (post 28m)
11949,D'LITES,True,15,86,47,17,SOBRE-STOCK 22m -> RECORTAR (post 26m)
117733,BOBS MODA FLEX,False,15,0,0,0,NOVEDAD -> validar por familia
302526L,D'LITES,False,15,0,0,0,NOVEDAD -> validar por familia
304154L,D'LITES,False,15,0,0,0,NOVEDAD -> validar por familia
303557L,WAVE 92,True,15,162,70,13,SOBRE-STOCK 28m -> RECORTAR (post 30m)
304206L,MICROSPEC VELOCITY,False,15,0,0,0,NOVEDAD -> validar por familia
304208L,SKECHERS STREAMLINE,False,15,0,0,0,NOVEDAD -> validar por familia
118130,ARCH FIT B FLEX HI,False,15,0,0,0,NOVEDAD -> validar por familia
232619,CONTOUR FOAM,False,15,0,0,0,NOVEDAD -> validar por familia
237942,EQUALIZER 5.0 TRAIL,False,15,0,0,0,NOVEDAD -> validar por familia
220669,MAX CUSHIONING ENDEAVOUR,False,15,0,0,0,NOVEDAD -> validar por familia
220887,GO RUN CONSISTENT 2.0,False,15,0,0,0,NOVEDAD -> validar por familia
220391,GO RUN NOW,False,15,0,0,0,NOVEDAD -> validar por familia
233471,GLIDE-STEP ALTUS,False,15,0,0,0,NOVEDAD -> validar por familia
232398,TRACK,True,15,5,8,0,cobertura 8m -> comprar MINIMO (post 30m)
125890,GO WALK MAX CUSHIONING HYPER BURST,True,15,10,5,4,SOBRE-STOCK 24m -> RECORTAR (post 60m)
129414,MAX CUSHIONING GLIDE-STEP,False,15,0,0,0,NOVEDAD -> validar por familia
150510,GLIDE-STEP ALTUS,False,15,0,0,0,NOVEDAD -> validar por familia
150514,GLIDE-STEP ALTUS,False,15,0,0,0,NOVEDAD -> validar por familia
898151,ROSEATE 3.0,False,15,0,0,0,NOVEDAD -> validar por familia
246146,SKECHERS VIPER COURT RELOAD 2 PADEL,False,15,0,0,0,NOVEDAD -> validar por familia
172146,SKECHERS VIPER COURT RELOAD 2 PADEL,False,15,0,0,0,NOVEDAD -> validar por familia
303679L,BOUNDER,True,12,26,22,18,SOBRE-STOCK 14m -> RECORTAR (post 21m)
303556L,BOUNDLESS,False,12,0,0,0,NOVEDAD -> validar por familia
314599N,TWINKLE STAR,False,12,0,0,0,NOVEDAD -> validar por familia
404801L,EDGERIDE,True,12,59,41,41,SOBRE-STOCK 17m -> RECORTAR (post 21m)
118460,BOBS ARCH FIT ELEV8,False,12,0,0,0,NOVEDAD -> validar por familia
