archivo,hoja,tienda,fila,articulo,texto,cantidad,folio,fecha,estado,no_despachar,color_celda
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA02,675,,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,675,,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA04,675,,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,Hoja,PA02,158,FAMA13,12,12,,,PENDIENTE,,FFFFFF00
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,Hoja,PA03,158,FAMA13,12,12,,,PENDIENTE,,FFFFFF00
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,Hoja,PA02,186,FAMA04,12,12,,,PENDIENTE,,FFFFFF00
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,Hoja,PA03,186,FAMA04,12,12,,,PENDIENTE,,FFFFFF00
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,Hoja,PA04,186,FAMA04,12,12,,,PENDIENTE,,FFFFFF00
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,Hoja,PA02,424,FBC257,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,Hoja,PA03,424,FBC257,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 HOMBRE VESTIR NW 2025  ATEMPORALES  7 8  025.xlsx,Hoja1,PA02,26,ZM24-10123,15,15,,,PENDIENTE,,FFFFFF00
2006 HOMBRE VESTIR NW 2025  ATEMPORALES  7 8  025.xlsx,Hoja1,PA03,26,ZM24-10123,15,15,,,PENDIENTE,,FFFFFF00
2006 HOMBRE VESTIR NW 2025  ATEMPORALES  7 8  025.xlsx,Hoja1,PA04,26,ZM24-10123,15,15,,,PENDIENTE,,FFFFFF00
2006 HOMBRE VESTIR NW 2025  ATEMPORALES  7 8  025.xlsx,Hoja1,PA02,53,ZM24-22610-90,15,15,,,PENDIENTE,,FFFFFF00
2006 HOMBRE VESTIR NW 2025  ATEMPORALES  7 8  025.xlsx,Hoja1,PA03,53,ZM24-22610-90,15,15,,,PENDIENTE,,FFFFFF00
2006 HOMBRE VESTIR NW 2025  ATEMPORALES  7 8  025.xlsx,Hoja1,PA04,53,ZM24-22610-90,15,15,,,PENDIENTE,,FFFFFF00
2006 HOMBRE VESTIR NW 2025  ATEMPORALES  7 8  025.xlsx,Hoja1,PA02,62,ZM24-22610-91,15,15,,,PENDIENTE,,FFFFFF00
2006 HOMBRE VESTIR NW 2025  ATEMPORALES  7 8  025.xlsx,Hoja1,PA03,62,ZM24-22610-91,15,15,,,PENDIENTE,,FFFFFF00
2006 HOMBRE VESTIR NW 2025  ATEMPORALES  7 8  025.xlsx,Hoja1,PA04,62,ZM24-22610-91,15,15,,,PENDIENTE,,FFFFFF00
2006 HOMBRE VESTIR NW 2025  ATEMPORALES  7 8  025.xlsx,Hoja1,PA04,89,ZM24-Z2510,15,15,,,PENDIENTE,,FFFFFF00
2025 HOMBRE BOTINES CAÑA ALTA NW 19 7 2025.xlsx,Hoja1,PA02,28,ZM23-AF17-40,15,15,,,PENDIENTE,,FFFFFF00
2025 HOMBRE BOTINES CAÑA ALTA NW 19 7 2025.xlsx,Hoja1,PA03,28,ZM23-AF17-40,15,15,,,PENDIENTE,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,11,003,15,15,,,ANULADO,15,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,12,,15,15,,,ANULADO,15,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,15,032,15,15,,,ANULADO,15,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,16,,15,15,,,ANULADO,15,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,19,605,15/FACT 148772,15,148772,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,19,605,15/FACT 148772,15,148772,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,19,605,15/FACT 148772,15,148772,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,21,,15/FACT 148772,15,148772,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,21,,15/FACT 148772,15,148772,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,21,,15/FACT 148772,15,148772,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,23,629,15/FACT 148772,15,148772,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,23,629,15/FACT 148772,15,148772,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,25,,15/FACT 148772,15,148772,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,25,,15/FACT 148772,15,148772,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,27,648,15/FACT 148771,15,148771,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,27,648,15/FACT 148771,15,148771,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,28,,15/FACT 148771,15,148771,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,28,,15/FACT 148771,15,148771,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,31,658,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,31,658,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,31,658,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,33,,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,39,677,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,39,677,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,39,677,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,40,,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,41,,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,41,,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,48,717,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,48,717,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,48,717,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,49,,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,52,737,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,52,737,15/FACT 148767,15,148767,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,56,751,15,15,,,ANULADO,45,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,56,751,15,15,,,ANULADO,45,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,56,751,15,15,,,ANULADO,45,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,57,,15,15,,,ANULADO,45,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,57,,15,15,,,ANULADO,45,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,57,,15,15,,,ANULADO,45,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,64,762,15,15,,,ANULADO,30,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,64,762,15,15,,,ANULADO,30,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,68,775,15/FACT 148771,15,148771,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,68,775,15/FACT 148771,15,148771,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,68,775,15/FACT 148771,15,148771,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,69,,15/FACT 148771,15,148771,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,69,,15/FACT 148771,15,148771,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,69,,15/FACT 148771,15,148771,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,70,,15/FACT 148771,15,148771,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,73,780,15/FACT 149146,15,149146,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,73,780,15/FACT 149146,15,149146,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,73,780,15/FACT 149146,15,149146,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,74,,15/FACT 149146,15,149146,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,74,,15/FACT 149146,15,149146,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,74,,15/FACT 149146,15,149146,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,77,786,15/FACT 149740,15,149740,,LLEGO,,theme0/0.00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,77,786,15/FACT 149740,15,149740,,LLEGO,,theme0/0.00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,85,820,15/FACT 148771,15,148771,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,85,820,15/FACT 148771,15,148771,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,86,,15/FACT 148771,15,148771,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,86,,15/FACT 148771,15,148771,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,89,824,15,15,,,ANULADO,30,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,89,824,15,15,,,ANULADO,30,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,93,826,15/FACT 149746,15,149746,,LLEGO,,theme0/0.00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,93,826,15/FACT 149746,15,149746,,LLEGO,,theme0/0.00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,93,826,15/FACT 149746,15,149746,,LLEGO,,theme0/0.00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,94,,15/FACT 149746,15,149746,,LLEGO,,theme0/0.00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,97,834,15/FACT 148768,15,148768,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,101,843,15,15,,,ANULADO,15,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,102,,15,15,,,ANULADO,15,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,105,5142,15,15,,,ANULADO,15,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,111,921,15/FACT 148769,15,148769,,LLEGO,,theme0/0.00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,111,921,15/FACT 148769,15,148769,,LLEGO,,theme0/0.00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,111,921,15/FACT 148769,15,148769,,LLEGO,,theme0/0.00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,116,923,15/FACT 149145,15,149145,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,116,923,15/FACT 149145,15,149145,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,116,923,15/FACT 149145,15,149145,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,120,926,15/FACT 149145,15,149145,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,121,,15/FACT 149145,15,149145,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,124,931,15/FACT 149145,15,149145,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,124,931,15/FACT 149145,15,149145,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,124,931,15/FACT 149145,15,149145,,LLEGO,,FFFFFF00
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA02,125,,15,15,,,ANULADO,45,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA03,125,,15,15,,,ANULADO,45,FFFF0000
ARISTO TEBES INVIERNO 2026.xlsx,Hoja1,PA04,125,,15,15,,,ANULADO,45,FFFF0000
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,9,1809,15,15,,,PENDIENTE,,
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,9,1809,15,15,,,PENDIENTE,,
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA04,9,1809,15,15,,,PENDIENTE,,
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,14,,15/FACT 191825,15,191825,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,14,,15/FACT 191825,15,191825,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA04,14,,15/FACT 191825,15,191825,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,17,1824,15/FACT 191825,15,191825,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,17,1824,15/FACT 191825,15,191825,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,24,,15,15,,,ANULADO,15,FFFF0000
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,25,BAMBOO,15,15,,,ANULADO,15,FFFF0000
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,26,2937,15,15,,,ANULADO,15,FFFF0000
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,27,,15,15,,,ANULADO,30,FFFF0000
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,27,,15,15,,,ANULADO,30,FFFF0000
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,28,,15,15,,,ANULADO,15,FFFF0000
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,29,UNS,15,15,,,ANULADO,30,FFFF0000
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,29,UNS,15,15,,,ANULADO,30,FFFF0000
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,31,3024,15/fact 192267,15,192267,,LLEGO,,
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,47,3128,15/fact 192267,15,192267,,LLEGO,,
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,67,4458,12/FACT 191823,12,191823,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,67,4458,12/FACT 191823,12,191823,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA04,67,4458,12/FACT 191823,12,191823,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,71,4473,15,15,,,PENDIENTE,,
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA04,71,4473,15,15,,,PENDIENTE,,
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,75,4561,12/FACT 191823,12,191823,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,87,4872,15/fact 192267,15,192267,,LLEGO,,
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,100,9010,15/FACT 192502,15,192502,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,100,9010,15/FACT 192502,15,192502,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA04,100,9010,15/FACT 192502,15,192502,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,101,,15/FACT 192502,15,192502,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,104,9013,15/FACT 191824,15,191824,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA04,104,9013,15/FACT 191824,15,191824,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,105,,15/FACT 192502,15,192502,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,105,,15/FACT 192502,15,192502,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA04,105,,15/FACT 192502,15,192502,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA04,106,,15/FACT 192502,15,192502,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,108,,15/FACT 191824,15,191824,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,108,,15/FACT 191824,15,191824,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA04,108,,15/FACT 191824,15,191824,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA04,109,,15/FACT 191824,15,191824,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,110,UNS,15/FACT 192502,15,192502,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,110,UNS,15/FACT 192502,15,192502,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA04,110,UNS,15/FACT 192502,15,192502,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,111,9028,15/FACT 191824,15,191824,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,111,9028,15/FACT 191824,15,191824,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,112,,15/FACT 191824,15,191824,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,121,,15/fact 192801,15,192801,,LLEGO,,FFFFFF00
