style_color,style,color,familia,gender,srp,whs,pares_grid,PA01,PA02,PA03,PA04,NICK1,total_tiendas,orden_2026_1,orden_2026_2
150520-OWBR,150520,OWBR,D'LITES 5.0,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4752.0,3488.0
150833-BLK,150833,BLK,GLIDE-STEP STRIDE,WOMEN,69990.0,38900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
150833-NTPR,150833,NTPR,GLIDE-STEP STRIDE,WOMEN,69990.0,38900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
177606-LTGY,177606,LTGY,UNO RYZE,WOMEN,69990.0,38900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2358.0,0.0
177606-BLK,177606,BLK,UNO RYZE,WOMEN,69990.0,38900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
177606-NTTP,177606,NTTP,UNO RYZE,WOMEN,69990.0,38900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
177606-NTBK,177606,NTBK,UNO RYZE,WOMEN,69990.0,38900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2687.0,0.0
177629-BBK,177629,BBK,UNO RYZE,WOMEN,67990.0,37750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
177629-LIL,177629,LIL,UNO RYZE,WOMEN,67990.0,37750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
177629-OFWT,177629,OFWT,UNO RYZE,WOMEN,67990.0,37750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190245-BBK,190245,BBK,E'CLYPSE LUXE,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1645.0
190245-MVE,190245,MVE,E'CLYPSE LUXE,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190250-BLK,190250,BLK,E'CLYPSE LUXE,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190250-NTPK,190250,NTPK,E'CLYPSE LUXE,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190250-OFWT,190250,OFWT,E'CLYPSE LUXE,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
117683-BBK,117683,BBK,BOBS DIEGO,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1612.0
117683-OFWT,117683,OFWT,BOBS DIEGO,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1510.0
117688-BLK,117688,BLK,BOBS DIEGO,WOMEN,57990.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1226.0
117688-NAT,117688,NAT,BOBS DIEGO,WOMEN,57990.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
117688-NTGY,117688,NTGY,BOBS DIEGO,WOMEN,57990.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
117685-CHOC,117685,CHOC,BOBS DIEGO,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
117685-CSNT,117685,CSNT,BOBS DIEGO,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
117685-BBK,117685,BBK,BOBS DIEGO,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11198.0
117685-NAT,117685,NAT,BOBS DIEGO,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11222.0
190515-TPE,190515,TPE,TERRA-LO,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190515-BBK,190515,BBK,TERRA-LO,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190225-BLK,190225,BLK,E'CLYPSE LITE,WOMEN,52990.0,29450.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,3017.0
190225-NTGD,190225,NTGD,E'CLYPSE LITE,WOMEN,52990.0,29450.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0,0
190225-BBK,190225,BBK,E'CLYPSE LITE,WOMEN,52990.0,29450.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0,0
190225-NTMT,190225,NTMT,E'CLYPSE LITE,WOMEN,52990.0,29450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.0
150960-NTBR,150960,NTBR,STEADY RIDE,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
150960-WHT,150960,WHT,STEADY RIDE,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
150960-BBK,150960,BBK,STEADY RIDE,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190113-BBK,190113,BBK,UNO GLIDE-STEP,WOMEN,72990.0,40550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1792.0,0.0
190113-BLK,190113,BLK,UNO GLIDE-STEP,WOMEN,72990.0,40550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1509.0,0.0
190113-WHT,190113,WHT,UNO GLIDE-STEP,WOMEN,72990.0,40550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1636.0,0.0
190115-GYLP,190115,GYLP,UNO GLIDE-STEP,WOMEN,72990.0,40550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190115-BBK,190115,BBK,UNO GLIDE-STEP,WOMEN,72990.0,40550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190115-NTPR,190115,NTPR,UNO GLIDE-STEP,WOMEN,72990.0,40550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190446-BBK,190446,BBK,UNO GLIDE-STEP LITE,WOMEN,59990.0,33350.0,0.0,0.0,0.0,15.0,0.0,15.0,30.0,0,0
190446-TPE,190446,TPE,UNO GLIDE-STEP LITE,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0,0
190446-WHT,190446,WHT,UNO GLIDE-STEP LITE,WOMEN,59990.0,33350.0,0.0,0.0,0.0,15.0,0.0,15.0,30.0,0,0
190177-BLK,190177,BLK,ARCH FIT UNO,WOMEN,67990.0,37750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270.0
190177-BBK,190177,BBK,ARCH FIT UNO,WOMEN,67990.0,37750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1372.0
190177-WHT,190177,WHT,ARCH FIT UNO,WOMEN,67990.0,37750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0
73690-BBK,73690,BBK,UNO,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12598.0,681.0
73690-BLK,73690,BLK,UNO,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9702.0,5968.0
73690-RDS,73690,RDS,UNO,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.0,0.0
73690-WHT,73690,WHT,UNO,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,3840.0
155196-BBK,155196,BBK,UNO,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7132.0,3434.0
155196-BLK,155196,BLK,UNO,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6524.0,5457.0
155196-NUDE,155196,NUDE,UNO,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3271.0,0.0
177094-BBK,177094,BBK,UNO,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2487.0
177094-BLK,177094,BLK,UNO,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0
177094-WHT,177094,WHT,UNO,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2272.0
190546-BBK,190546,BBK,UNO AIRY,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190546-NTTP,190546,NTTP,UNO AIRY,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
177867-BLK,177867,BLK,UNO SAVVY,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0
177867-TPE,177867,TPE,UNO SAVVY,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
177867-W,177867,W,UNO SAVVY,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0
177291-BBK,177291,BBK,UNO LITE,WOMEN,52990.0,29450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8244.0,0.0
177291-BLK,177291,BLK,UNO LITE,WOMEN,52990.0,29450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6623.0,0.0
177291-NAT,177291,NAT,UNO LITE,WOMEN,52990.0,29450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2519.0,0.0
177291-WHT,177291,WHT,UNO LITE,WOMEN,52990.0,29450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6622.0,0.0
190270-BBK,190270,BBK,UNO LITE 2,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4281.0
190270-OFWT,190270,OFWT,UNO LITE 2,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3196.0
190265-BLK,190265,BLK,UNO LITE 2,WOMEN,47990.0,26650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11031.0
190265-LAV,190265,LAV,UNO LITE 2,WOMEN,47990.0,26650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.0
190265-OFWT,190265,OFWT,UNO LITE 2,WOMEN,47990.0,26650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190265-BBK,190265,BBK,UNO LITE 2,WOMEN,47990.0,26650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5208.0
190265-NAT,190265,NAT,UNO LITE 2,WOMEN,47990.0,26650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6382.0
190265-WLV,190265,WLV,UNO LITE 2,WOMEN,47990.0,26650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10151.0
190266-BKLD,190266,BKLD,UNO LITE 2,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190266-WPK,190266,WPK,UNO LITE 2,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185222-BLK,185222,BLK,JADE,WOMEN,69990.0,38900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1756.0,0.0
185222-WHT,185222,WHT,JADE,WOMEN,69990.0,38900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1942.0,0.0
177209-BLK,177209,BLK,ARCH FIT ARCADE,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,1588.0
177209-OFWT,177209,OFWT,ARCH FIT ARCADE,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062.0,1630.0
177209-WLV,177209,WLV,ARCH FIT ARCADE,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
177209-BBK,177209,BBK,ARCH FIT ARCADE,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
177209-DKNV,177209,DKNV,ARCH FIT ARCADE,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.0
177209-TPE,177209,TPE,ARCH FIT ARCADE,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190215-OFWT,190215,OFWT,ARCH FIT ARCADE,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190215-WHT,190215,WHT,ARCH FIT ARCADE,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
177189-BLK,177189,BLK,ARCH FIT ARCADE,WOMEN,57990.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3398.0,2208.0
177189-WHT,177189,WHT,ARCH FIT ARCADE,WOMEN,57990.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3114.0,4087.0
190099-NAT,190099,NAT,ARCH FIT ARCADE HI,WOMEN,57990.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190099-BLK,190099,BLK,ARCH FIT ARCADE HI,WOMEN,57990.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2769.0
190099-QUAL,190099,QUAL,ARCH FIT ARCADE HI,WOMEN,57990.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185430-GRN,185430,GRN,ACADEMY HI,WOMEN,57990.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2419.0,1601.0
185430-NVPK,185430,NVPK,ACADEMY HI,WOMEN,57990.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2157.0,1112.0
185160-BLK,185160,BLK,SPORT COURT 2.0,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6043.0,1576.0
185160-OFWT,185160,OFWT,SPORT COURT 2.0,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5785.0,3053.0
114918-BLK,114918,BLK,BOBS SUNWAVE,WOMEN,52990.0,29450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2371.0
114918-TAN,114918,TAN,BOBS SUNWAVE,WOMEN,52990.0,29450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.0
114918-WHT,114918,WHT,BOBS SUNWAVE,WOMEN,52990.0,29450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2610.0
185550-BLK,185550,BLK,CENTRAL,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.0
185550-BRN,185550,BRN,CENTRAL,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1262.0
185550-NAT,185550,NAT,CENTRAL,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.0
185530-BKNT,185530,BKNT,BELMONT,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185530-WHT,185530,WHT,BELMONT,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2420.0
185530-NTBR,185530,NTBR,BELMONT,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185535-BLK,185535,BLK,BELMONT,WOMEN,44990.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2394.0
185535-LTBR,185535,LTBR,BELMONT,WOMEN,44990.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185535-WHT,185535,WHT,BELMONT,WOMEN,44990.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3391.0
185535-NTPK,185535,NTPK,BELMONT,WOMEN,44990.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0
188091-BKW,188091,BKW,ENTOURAGE,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
188091-OLV,188091,OLV,ENTOURAGE,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
177341-BBK,177341,BBK,BILLION 2,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3384.0,0.0
177341-BLK,177341,BLK,BILLION 2,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7053.0,0.0
177341-NAT,177341,NAT,BILLION 2,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5827.0,0.0
177342-BKRG,177342,BKRG,BILLION 2,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5159.0
177342-BKSL,177342,BKSL,BILLION 2,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
177342-NTGD,177342,NTGD,BILLION 2,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5254.0
190370-BLK,190370,BLK,BILLION FLEX,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1881.0
190370-CHOC,190370,CHOC,BILLION FLEX,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190370-NAT,190370,NAT,BILLION FLEX,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1803.0
190373-BBK,190373,BBK,BILLION FLEX,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190373-OFWT,190373,OFWT,BILLION FLEX,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190373-TPE,190373,TPE,BILLION FLEX,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190373-BLK,190373,BLK,BILLION FLEX,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
150894-WSL,150894,WSL,RELAXED FIT FLEX,WOMEN,57990.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
150894-BKRG,150894,BKRG,RELAXED FIT FLEX,WOMEN,57990.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
117560-BLK,117560,BLK,BOBS ARCH COMFORT B SWEET,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3830.0
117560-WHT,117560,WHT,BOBS ARCH COMFORT B SWEET,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1849.0,4234.0
159459-WNV,159459,WNV,MONTECITO,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
159459-WTP,159459,WTP,MONTECITO,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190153-BKLD,190153,BKLD,ZINGER EVO,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2058.0
190153-LPD,190153,LPD,ZINGER EVO,WOMEN,54990.0,30550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1873.0
185503-NTMT,185503,NTMT,TOPNOTCH,WOMEN,57990.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185503-BKMT,185503,BKMT,TOPNOTCH,WOMEN,57990.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185502-NTMT,185502,NTMT,TOPNOTCH,WOMEN,52990.0,29450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185500-NTBG,185500,NTBG,TOPNOTCH,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185500-LTBR,185500,LTBR,TOPNOTCH,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185500-NTBK,185500,NTBK,TOPNOTCH,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185232-BKW,185232,BKW,HOTSHOT,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5383.0,611.0
185232-WBK,185232,WBK,HOTSHOT,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6799.0,775.0
185236-BKSL,185236,BKSL,HOTSHOT,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452.0,0.0
185236-WTRG,185236,WTRG,HOTSHOT,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1903.0,0.0
185405-BRPK,185405,BRPK,HOTSHOT,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2229.0,0.0
185323-BKBR,185323,BKBR,HOTSHOT,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
185323-WBK,185323,WBK,HOTSHOT,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185329-NTBK,185329,NTBK,HOTSHOT,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185329-SAGE,185329,SAGE,HOTSHOT,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1861.0
185407-BKBR,185407,BKBR,HOTSHOT,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185407-TPE,185407,TPE,HOTSHOT,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
114930-TAN,114930,TAN,BOBS SKIP CLOUD,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
114930-BLK,114930,BLK,BOBS SKIP CLOUD,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
104829-BKW,104829,BKW,VIRTUE,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
104829-BRN,104829,BRN,VIRTUE,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
104829-TPE,104829,TPE,VIRTUE,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
159547-BBK,159547,BBK,GLIDE-STEP COMFORT,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
159547-TPE,159547,TPE,GLIDE-STEP COMFORT,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
159506-BBK,159506,BBK,BREATHE-EASY,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
159506-DKTP,159506,DKTP,BREATHE-EASY,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
159415-BBK,159415,BBK,EASY GOING,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
159415-NVY,159415,NVY,EASY GOING,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
159415-TPE,159415,TPE,EASY GOING,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100888-BBK,100888,BBK,GRACEFUL,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4796.0,0.0
100888-TPGD,100888,TPGD,GRACEFUL,WOMEN,49990.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2931.0,0.0
159651-BBK,159651,BBK,NEW COOL,WOMEN,44990.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
159651-TPE,159651,TPE,NEW COOL,WOMEN,44990.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
117252-BBK,117252,BBK,BOBS SQUAD CHAOS,WOMEN,57990.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5344.0
