archivo,formato,proveedor,marca,seccion,articulo,color,talla_rango,precio_lista,precio_publico,pares,pa02,pa03,pa04,factura_anotada,fila
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KWLA612506,BLACK,,,,,,,,,428
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KWLA882504,BROWN,35 - 40,17990,,,,,,,436
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KWLA882504,BLACK,,,,,,,,,437
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,89132-8,BROWN,35 - 40,17990,,,,,,,448
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,89132-8,BLACK,,,,,,,,,452
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KWLA61-2504,BROWN,35 - 40,16990,,,,,,,460
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KWLA61-2504,BLACK,,,,,,,,,461
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KWLA762512,BLACK,35 - 40,16990,,,12/FACT 53145,12/FACT 53145,,,472
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KWLA762512,CAMEL,,,,,12/FACT 53145,12/FACT 53145,,,476
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,TAD96001,BROWN,35 - 40,17990,,,,,,,484
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,TAD96001,BLACK,,,,,12,12,,,485
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KW5864,BLACK,35 - 40,18990,,,,,,,496
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,AAQ91109,BLACK,35 - 40,20990,,,,,,,508
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,AAQ91109,BROWN,,,,,,,,,513
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,D2552-15,BLACK,35 - 40,19990,,,,,,,521
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,D2552-15,KHAKI,,,,,,,,,526
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,XAL92324,BROWN,35 - 40,22990,,,,,,,534
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,XAL92324,BLACK,,,,,,,,,535
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,8806-62,BLACK,35 - 40,19990,,,,,,,547
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,8806-62,BROWN,,,,,,,,,552
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,8806-62,TAUPE,,,,,,,,,553
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,8806-62,CAMEL,,,,,,,,,554
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,DCA91129,BROWN,35 - 40,18990,,,,,,,560
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,DCA91129,BLACK,,,,,12,12,12,,565
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,RH1926-33,BLACK,35 - 40,17490,,,,,,,573
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,RH1926-33,KHAKI,,,,,,,,,578
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,89132-12,BLACK,35 - 40,18990,,,,,,,586
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,89132-12,BROWN,,,,,,,,,587
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2232-125A,BLACK,35 - 40,21990,,,,,,,598
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2232-125A,BROWN,,,,,,,,,602
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,BSDX1111A,BLACK,35 - 40,18990,,,12/FACT 53030,12/FACT 53030,12/FACT 53030,,610
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,BSDX1111A,BROWN,,,,,12/FACT 53030,12/FACT 53030,12/FACT 53030,,614
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,9159-13,BLACK,35 - 40,21990,,,12,12,12,,622
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,9159-13,BROWN,,,,,,,,,626
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,CDJ91107,BROWN,35 - 40,19490,,,,,,,634
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,CDJ91107,BLACK,,,,,,,,,638
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,FBA123,RED,35 - 40,9990,,,,,,,646
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,FBA123,GREEN,,,,,,,,,650
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,FBA123,BLACK,,,,,,,,,651
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,DZA91113,BLACK,35 - 40,16990,,,,,,,658
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,PB0101,BROWN,35 - 40,15990,,,,,,,670
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,PB0101,BLACK,,,,,12/FACT 53030,12/FACT 53030,12/FACT 53030,,675
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,LRW282,BLACK,35 - 40,11990,,,,,,,683
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,LRW282,TAUPE,,,,,,,,,688
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,101701A01,BROWN,35 - 40,11990,,,,,,,703
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,101701A01,TAUPE,,,,,,,,,704
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,101701A01,BLACK,,,,,,,,,705
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,101701A02,BLACK,35 - 40,11990,,,,,,,712
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,101701A02,CAMEL,,,,,,,,,717
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,101701A02,TAUPE,,,,,,,,,718
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF250327,BLACK,35 - 40,13990,,,,,,,23
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF250327,BROWN,,,,,,,,,24
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF250327,CAMEL,,,,,,,,,25
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF2502,BLACK,35 - 40,12990,,,,,,,38
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF2503,BLACK,35 - 40,12990,,,,,,,50
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF2503,BROWN,,,,,,,,,51
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF2505,BLACK,35 - 40,12990,,,,,,,62
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF2504,BLACK,35 - 40,13990,,,,,,,74
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF2506,BLACK,35 - 40,12990,,,,,,,86
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF2506,BROWN,,,,,,,,,87
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF2507,BLACK,35 - 40,15990,,,,,,,98
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF2507,TAUPE,,,,,,,,,99
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF2508,BLACK,35 - 40,12990,,,,,,,110
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF2508,TAUPE,,,,,,,,,111
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF2509,BLACK,35 - 40,13990,,,,,,,122
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,KWF2509,BROWN,,,,,,,,,123
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FABI78,BLACK,35 - 40,11990,,,,,,,134
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FABI69,BLACK,35 - 40,12490,,,,,,,146
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FAMA13,BLACK,35 - 40,11990,,,12,12,,,158
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FAMA13,BROWN,,,,,,,,,159
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FAMA13,CAMEL,,,,,,,,,160
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FABI49,BROWN,35 - 40,12490,,,,,,,174
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FABI49,BLACK,,,,,,,,,175
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FAMA04,BLACK,35 - 40,12490,,,12,12,12,,186
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FAMA04,BROWN,,,,,,,,,187
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FAMA04,CAMEL,,,,,,,,,195
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FAMA93,BLACK,35 - 40,11990,,,,,,,202
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FAMA93,PRINT,,,,,,,,,203
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FAMAC6,BLACK,35 - 40,13990,,,,,,,214
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FAMAZ5,BLACK,35 - 40,12990,,,,,,,226
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FAMAZ5,OLIVE,,,,,,,,,227
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FAMAM7,BLACK,35 - 40,12990,,,,,,,238
2006 ECCOFLEX BOTAS Y BOTINES  NEWWALK INV 2026   18  8  025.xlsx,NV,,ECCOFLEX,COLECCIÓN NEWWALK,FAMAM7,CAMEL,,,,,,,,,239
