marca_catalogo,articulo_catalogo,estado,n_productos_bd,marcas_bd_encontradas,sucursales,ejemplo_descripcion,primera_creacion
CHALADA,1-PLATAFORM12,MARCA+ART,8,CHALADA,EDEL;EDEL FALLADOS;PAO1;PAO2;PAO3;PAO4,BOTIN,2019-03-13
CHALADA,1-PLATAFORM30,MARCA+ART,4,CHALADA,EDEL;PAO2;PAO3;PAO4,BOTA,2024-03-11
CHALADA,1-SELINA-5,MARCA+ART,3,CHALADA,EDEL;PAO1;PAO4,BOTIN,2023-09-25
CHALADA,1-SIMONA-1,SIN MATCH,0,,,,
CHALADA,1-SIMONA-2,SIN MATCH,0,,,,
CHALADA,1-SLIK-10,MARCA+ART,4,CHALADA,EDEL;PAO4,BOTIN,2025-03-17
CHALADA,1-SLIK-11,MARCA+ART,2,CHALADA,EDEL;PAO4,BOTIN,2025-03-17
CHALADA,1-STUDIO-1,SIN MATCH,0,,,,
CHALADA,1-SURA-1,SIN MATCH,0,,,,
CHALADA,1-TAHOE-1,SIN MATCH,0,,,,
CHALADA,1-TORRI-11,SIN MATCH,0,,,,
CHALADA,1-TORRI-22,SIN MATCH,0,,,,
CHALADA,1-TORRI-30,SIN MATCH,0,,,,
CHALADA,1-VITA-2,MARCA+ART,5,CHALADA,EDEL;PAO2;PAO3;PAO4,ZAPATILLA,2025-02-17
CHALADA,1-VITA-5,MARCA+ART,6,CHALADA,EDEL;PAO3;PAO4,ZAPATILLA,2025-02-17
CHALADA,1-VITAON-5,MARCA+ART,8,CHALADA,EDEL;PAO2;PAO3;PAO4,ZAPATILLA,2026-02-02
CHALADA,1-WEDGE-22,MARCA+ART,5,CHALADA,EDEL;PAO2;PAO3;PAO4,BOTA WEDGE-22,2018-08-22
CHALADA,1-WEDGE-40,SIN MATCH,0,,,,
CHALADA,1-WEDGE-41,MARCA+ART,2,CHALADA,EDEL;PAO2,BOTA WEDGE-22,2022-05-16
CHALADA,1-WEDGE-45,SIN MATCH,0,,,,
CHALADA,10-CAT-1,SIN MATCH,0,,,,
CHALADA,10-FERRI-2,SIN MATCH,0,,,,
CHALADA,10-OHANA-1,SIN MATCH,0,,,,
CHALADA,10-PINHEEL-2,SIN MATCH,0,,,,
CHALADA,10-YURA-1,SIN MATCH,0,,,,
CHALADA,11-CETRANO-1,SIN MATCH,0,,,,
CHALADA,11-CORSO-5,MARCA+ART,2,CHALADA,EDEL;PAO4,ZAPATO,2024-03-04
CHALADA,11-CORSO-9,SIN MATCH,0,,,,
CHALADA,11-SLAK-1,SIN MATCH,0,,,,
CHALADA,11-SLEEP-27,SIN MATCH,0,,,,
CHALADA,11-SLEEP-30,SIN MATCH,0,,,,
CHALADA,11-SLIK-2,MARCA+ART,3,CHALADA,EDEL;PAO3;PAO4,BOTIN,2025-03-25
CHALADA,12-CAROL-1,MARCA+ART,3,CHALADA,EDEL;PAO2;PAO4,BOTIN,2021-03-15
CHALADA,12-CAROL-5,MARCA+ART,3,CHALADA,EDEL;PAO3;PAO4,BOTIN,2025-02-17
CHALADA,12-COLES-1,MARCA+ART,7,CHALADA,EDEL;PAO1;PAO2;PAO3;PAO4,ZAPATO,2022-10-03
CHALADA,12-COLES-6,MARCA+ART,2,CHALADA,EDEL;PAO3,ZAPATO,2025-02-17
CHALADA,12-DANA-13,SIN MATCH,0,,,,
CHALADA,12-FLEXI-15,MARCA+ART,2,CHALADA,EDEL;PAO3,ZAPATO,2023-08-21
CHALADA,12-FLEXI-24,MARCA+ART,4,CHALADA,EDEL;PAO2;PAO3;PAO4,ZAPATO,2023-08-21
CHALADA,12-FLEXI-25,MARCA+ART,8,CHALADA,EDEL;PAO2;PAO3;PAO4,ZAPATO,2024-01-29
CHALADA,12-FLEXI-27,SIN MATCH,0,,,,
CHALADA,12-FLEXI-42,MARCA+ART,5,CHALADA,EDEL;PAO2;PAO3,ZAPATO,2026-02-23
CHALADA,12-FLEXI-43,MARCA+ART,4,CHALADA,EDEL;PAO2;PAO3;PAO4,ZAPATO,2025-02-17
CHALADA,12-FLEXI-48,SIN MATCH,0,,,,
CHALADA,12-FLEXI-51,MARCA+ART,6,CHALADA,EDEL;PAO3;PAO4,VESTIR,2025-02-17
CHALADA,12-FLEXI-54,SIN MATCH,0,,,,
CHALADA,12-FLEXI-58,SIN MATCH,0,,,,
CHALADA,12-FLEXIB-60,SIN MATCH,0,,,,
CHALADA,12-FLEXIB-61,SIN MATCH,0,,,,
CHALADA,12-HOT-70,MARCA+ART,6,CHALADA,EDEL;PAO3;PAO4,CHALA,2024-09-30
CHALADA,12-REBI-3,SIN MATCH,0,,,,
CHALADA,23-ANTULOW-2,SIN MATCH,0,,,,
CHALADA,23-BOLKI-2,SIN MATCH,0,,,,
CHALADA,23-JETTIX-2,MARCA+ART,6,CHALADA,EDEL;PAO2;PAO3;PAO4,ZAPATILLA,2025-01-27
CHALADA,23-JETTIX-3,MARCA+ART,6,CHALADA,EDEL;PAO2;PAO3;PAO4,ZAPATILLA,2025-08-25
CHALADA,23-JOGGO-7,MARCA+ART,6,CHALADA,EDEL;PAO2;PAO3;PAO4,ZAPATO,2024-02-19
CHALADA,23-JOGGO-8,MARCA+ART,3,CHALADA,EDEL;PAO2;PAO3,ZAPATO,2024-02-19
CHALADA,23-JOKER-1,SIN MATCH,0,,,,
CHALADA,23-JOKER-3,MARCA+ART,5,CHALADA,EDEL;PAO2;PAO3,ZAPATILLA,2025-03-17
CHALADA,23-JUVE-1,MARCA+ART,4,CHALADA,EDEL;PAO2,ZAPATILLA,2024-02-19
CHALADA,23-MATRIX-1,SIN MATCH,0,,,,
CHALADA,23-MEMPHI-1,SIN MATCH,0,,,,
CHALADA,23-MEMPHI-2,MARCA+ART,3,CHALADA,EDEL;PAO2;PAO3,ZAPATILLA,2025-01-27
CHALADA,23-METTA-15,MARCA+ART,4,CHALADA,EDEL;PAO2;PAO3;PAO4,ZAPATILLA,2024-02-19
CHALADA,23-METTA-2,MARCA+ART,2,CHALADA,EDEL;PAO2,ZAPATILLA,2025-02-03
CHALADA,23-MITSU-1,MARCA+ART,2,CHALADA,EDEL;PAO2,ZAPATILLA,2023-09-04
CHALADA,23-MITSU-2,MARCA+ART,8,CHALADA,EDEL;PAO2;PAO3;PAO4,ZAPATILLA,2025-03-17
CHALADA,23-MITSU-3,SIN MATCH,0,,,,
CHALADA,25-CAMP-15,MARCA+ART,12,CHALADA,EDEL;PAO1;PAO2;PAO3;PAO4,BOTIN CAMPERO,2018-09-12
CHALADA,25-CAMP-30,SIN MATCH,0,,,,
CHALADA,25-CAMP-31,MARCA+ART,5,CHALADA,EDEL;PAO2;PAO4,BOTIN CAMPERO,2019-04-03
CHALADA,25-CAMP-38,SIN MATCH,0,,,,
CHALADA,25-CAMP-50,SIN MATCH,0,,,,
CHALADA,25-CAMP-51,SIN MATCH,0,,,,
CHALADA,25-CAMP-52,SIN MATCH,0,,,,
CHALADA,25-CAMP-53,SIN MATCH,0,,,,
CHALADA,25-CORSO-1,SIN MATCH,0,,,,
CHALADA,25-MERATI-1,SIN MATCH,0,,,,
CHALADA,25-SINDY-1,SIN MATCH,0,,,,
CHALADA,25-SINDY-6,SIN MATCH,0,,,,
CHALADA,25-STAR-1,SIN MATCH,0,,,,
CHALADA,25-TADY-2,SIN MATCH,0,,,,
CHALADA,25-TADY-3,SIN MATCH,0,,,,
CHALADA,25-TORINO-1,SIN MATCH,0,,,,
CHALADA,25-TRINI-20,SIN MATCH,0,,,,
CHALADA,25-TROSI-1,SIN MATCH,0,,,,
CHALADA,25-TURIN-1,SIN MATCH,0,,,,
CHALADA,25-VARESE-1,SIN MATCH,0,,,,
CHALADA,25-VARESE-2,SIN MATCH,0,,,,
CHALADA,33-QUAL-1,SIN MATCH,0,,,,
CHALADA,36-BRIKE-1,SIN MATCH,0,,,,
CHALADA,36-BRIKE-2,SIN MATCH,0,,,,
CHALADA,36-CONFORT-4,SIN MATCH,0,,,,
CHALADA,36-CURVE-5,SIN MATCH,0,,,,
CHALADA,36-DANAY-1,MARCA+ART,4,CHALADA,EDEL;PAO2,ZAPATO,2026-02-09
CHALADA,36-DIVA-4,SIN MATCH,0,,,,
CHALADA,36-GRAKI-3,SIN MATCH,0,,,,
CHALADA,36-GRAMY-1,SIN MATCH,0,,,,
CHALADA,36-JOGGO-9,MARCA+ART,3,CHALADA,EDEL;PAO2;PAO3,ZAPATILLA,2025-01-27
CHALADA,36-LAICA-1,SIN MATCH,0,,,,
CHALADA,36-LELIA-1,SIN MATCH,0,,,,
CHALADA,36-LILI-1,SIN MATCH,0,,,,
CHALADA,36-MATTER-20,MARCA+ART,2,CHALADA,EDEL;PAO4,CALZADO,2025-03-03
CHALADA,36-MONZA-2,SIN MATCH,0,,,,
CHALADA,36-ONIX-1,SIN MATCH,0,,,,
CHALADA,36-PUBA-1,SIN MATCH,0,,,,
CHALADA,36-QUAL-10,SIN MATCH,0,,,,
CHALADA,36-QUAL-11,SIN MATCH,0,,,,
CHALADA,36-QUAL-7,SIN MATCH,0,,,,
CHALADA,36-QUAL-8,SIN MATCH,0,,,,
CHALADA,36-QUAL-9,SIN MATCH,0,,,,
CHALADA,36-RAYO-2,MARCA+ART,2,CHALADA,EDEL;PAO4,BOTIN,2025-02-24
CHALADA,36-RAYO-3,MARCA+ART,4,CHALADA,EDEL;PAO3;PAO4,BOTIN,2025-02-24
CHALADA,36-TORKE-3,SIN MATCH,0,,,,
CHALADA,36-TRAFFA-50,MARCA+ART,2,CHALADA,EDEL;PAO2,BOTA,2024-04-23
CHALADA,36-TRAFFAM-60,SIN MATCH,0,,,,
CHALADA,36-TRAFUN-1,SIN MATCH,0,,,,
CHALADA,36-WINTER-1,SIN MATCH,0,,,,
CHALADA,36-WINTER-7,MARCA+ART,2,CHALADA,EDEL;PAO2,BOTIN,2021-05-31
CHALADA,37-ANDY-11,SIN MATCH,0,,,,
CHALADA,37-ANDY-12,MARCA+ART,3,CHALADA,EDEL;PAO2,ZAPATILLAS,2026-02-16
CHALADA,37-ANDY-13,SIN MATCH,0,,,,
CHALADA,37-ANNIE-1,MARCA+ART,8,CHALADA,EDEL;PAO2;PAO3;PAO4,BOTINES,2025-02-03
CHALADA,37-ANTU-2,MARCA+ART,2,CHALADA,EDEL,ZAPATILLA,2025-02-03
CHALADA,37-CAJU-1,SIN MATCH,0,,,,
CHALADA,37-JETTIXLOW1,SIN MATCH,0,,,,
CHALADA,37-PINGUIH-1,MARCA+ART,8,CHALADA,EDEL;PAO2;PAO4,BOTIN,2025-02-03
CHALADA,37-PINGUIH-10,SIN MATCH,0,,,,
CHALADA,37-PINGUIH-11,SIN MATCH,0,,,,
CHALADA,37-PINGUIH-2,MARCA+ART,1,CHALADA,EDEL,BOTIN,2025-03-10
CHALADA,37-PINGUIH-3,MARCA+ART,2,CHALADA,EDEL;PAO4,ZAPATILLA,2025-02-17
CHALADA,37-PINGUIH-4,SIN MATCH,0,,,,
CHALADA,37-PINGUIH-5,SIN MATCH,0,,,,
CHALADA,37-PINGUIH-6,SIN MATCH,0,,,,
CHALADA,37-PINGUIH-7,SIN MATCH,0,,,,
CHALADA,37-PINGUIH-8,SIN MATCH,0,,,,
CHALADA,37-PINGUIH-9,SIN MATCH,0,,,,
CHALADA,37-PINHEEL-1,SIN MATCH,0,,,,
CHALADA,37-SPIN-1,SIN MATCH,0,,,,
CHALADA,38-AILEN-1,MARCA+ART,4,CHALADA,EDEL;PAO4,ZAPATILLAS,2026-02-16
CHALADA,38-ANDY-1,SIN MATCH,0,,,,
CHALADA,38-ANDY-2,SIN MATCH,0,,,,
CHALADA,38-ANDY-3,SIN MATCH,0,,,,
CHALADA,38-BARI-1,SIN MATCH,0,,,,
CHALADA,38-BIKA-1,SIN MATCH,0,,,,
CHALADA,38-BIKER-2,SIN MATCH,0,,,,
CHALADA,38-BIKER-5,MARCA+ART,2,CHALADA,EDEL;PAO4,BOTIN,2025-02-24
CHALADA,38-BIKER-6,SIN MATCH,0,,,,
CHALADA,38-BIKER-7,SIN MATCH,0,,,,
CHALADA,38-BRESH-1,SIN MATCH,0,,,,
CHALADA,38-CALM-1,SIN MATCH,0,,,,
CHALADA,38-FARA-1,SIN MATCH,0,,,,
CHALADA,38-FLEY-3,SIN MATCH,0,,,,
CHALADA,38-FLEY-4,SIN MATCH,0,,,,
CHALADA,38-FRISH-1,SIN MATCH,0,,,,
CHALADA,38-JOING-1,SIN MATCH,0,,,,
CHALADA,38-JOOP-1,MARCA+ART,2,CHALADA,EDEL;PAO4,ZAPATO,2024-01-29
CHALADA,38-JUPPI-1,SIN MATCH,0,,,,
CHALADA,38-LENIN-1,SIN MATCH,0,,,,
CHALADA,38-LENIN-2,MARCA+ART,2,CHALADA,EDEL;PAO2,ZAPATILLA,2024-02-19
CHALADA,38-LEWIS-1,MARCA+ART,5,CHALADA,EDEL;PAO2;PAO4,ZAPATO,2024-01-29
CHALADA,38-MICCA-1,SIN MATCH,0,,,,
CHALADA,38-MOCCA-1,SIN MATCH,0,,,,
CHALADA,38-MOCCA-2,MARCA+ART,2,CHALADA,EDEL;PAO4,ZAPATO,2025-03-10
CHALADA,38-NATIRUS-1,SIN MATCH,0,,,,
CHALADA,38-NATIRUS-2,SIN MATCH,0,,,,
CHALADA,38-NATIRUS-3,SIN MATCH,0,,,,
CHALADA,38-NEVADA-1,SIN MATCH,0,,,,
CHALADA,38-POOL-24,SIN MATCH,0,,,,
CHALADA,38-POOL-3,MARCA+ART,3,CHALADA,EDEL;PAO1;PAO2,BOTIN,2019-05-24
CHALADA,38-POOLH-11,SIN MATCH,0,,,,
CHALADA,38-POOLH-9,MARCA+ART,2,CHALADA,EDEL;PAO4,BOTA,2022-03-21
CHALADA,38-POOLL-10,MARCA+ART,4,CHALADA,EDEL;PAO1;PAO2;PAO4,BOTIN,2021-03-15
CHALADA,38-POOLL-21,SIN MATCH,0,,,,
CHALADA,38-POOLL-23,SIN MATCH,0,,,,
CHALADA,38-PRATA-1,SIN MATCH,0,,,,
CHALADA,38-PRATA-2,SIN MATCH,0,,,,
CHALADA,38-PRATA-3,MARCA+ART,2,CHALADA,EDEL;PAO3,ZAPATILLA,2024-02-19
CHALADA,38-PRATA-6,SIN MATCH,0,,,,
CHALADA,38-PRATA-7,SIN MATCH,0,,,,
CHALADA,38-RUST-10,SIN MATCH,0,,,,
CHALADA,38-RUST-2,MARCA+ART,2,CHALADA,EDEL;PAO4,BOTA,2022-03-21
CHALADA,38-RUST-21,SIN MATCH,0,,,,
CHALADA,38-TRENI-1,SIN MATCH,0,,,,
CHALADA,38-WEDING-1,SIN MATCH,0,,,,
CHALADA,38-WEST-20,SIN MATCH,0,,,,
CHALADA,38-WEST-22,SIN MATCH,0,,,,
CHALADA,38-WONDER-1,SIN MATCH,0,,,,
CHALADA,38-WONDER-4,SIN MATCH,0,,,,
CHALADA,39-FLUMI-10,SIN MATCH,0,,,,
CHALADA,39-JOKA-2,MARCA+ART,2,CHALADA,EDEL;PAO4,ZAPATILLA,2026-03-02
CHALADA,39-JOKA-3,MARCA+ART,2,CHALADA,EDEL;PAO3,ZAPATILLA,2026-03-02
CHALADA,39-NIVA-2,SIN MATCH,0,,,,
CHALADA,39-TIGER-1,SIN MATCH,0,,,,
CHALADA,39-TROYA-4,SIN MATCH,0,,,,
CHALADA,46-COSTA-1,MARCA+ART,3,CHALADA,EDEL;PAO3;PAO4,BOTIN,2025-02-17
CHALADA,46-COSTA-2,MARCA+ART,6,CHALADA,EDEL;PAO2;PAO3,BOTIN,2026-03-23
CHALADA,46-COSTA-3,SIN MATCH,0,,,,
CHALADA,46-DEILA-1,SIN MATCH,0,,,,
CHALADA,46-TRAFA-1,SIN MATCH,0,,,,
CHALADA,47-BRIKLIN-1,SIN MATCH,0,,,,
CHALADA,47-CONA-3,SIN MATCH,0,,,,
CHALADA,47-DEZA-5,SIN MATCH,0,,,,
CHALADA,47-MALU-4,SIN MATCH,0,,,,
CHALADA,47-PETRA-1,SIN MATCH,0,,,,
CHALADA,47-TORKE-1,SIN MATCH,0,,,,
CHALADA,47-TORKE-2,SIN MATCH,0,,,,
CHALADA,47-YORKI-1,SIN MATCH,0,,,,
CHALADA,5-CLORA-4,MARCA+ART,7,CHALADA,EDEL;PAO1;PAO2;PAO3;PAO4,VESTIR,2018-08-20
CHALADA,5-COBNA-2,MARCA+ART,16,CHALADA,EDEL;NICK3;PAO1;PAO2;PAO3;PAO4,VESTIR,2018-08-19
CHALADA,5-COBNA-6,MARCA+ART,6,CHALADA,EDEL;PAO2;PAO3;PAO4,VESTIR,2023-09-20
CHALADA,5-COSIMO-3,MARCA+ART,5,CHALADA,EDEL;PAO1;PAO2;PAO3;PAO4,VESTIR,2018-11-27
CHALADA,5-DILLY-10,MARCA+ART,2,CHALADA,EDEL;PAO3,ZAPATO,2026-07-14
CHALADA,5-DILLY-12,MARCA+ART,2,CHALADA,EDEL;PAO2,VESTIR,2023-03-14
CHALADA,5-FASHION-71,MARCA+ART,16,CHALADA,EDEL;PAO1;PAO2;PAO3;PAO4,VESTIR,2018-08-29
CHALADA,5-FASHION-81,MARCA+ART,12,CHALADA,EDEL;PAO1;PAO2;PAO3;PAO4,VESTIR,2018-08-29
CHALADA,5-MIU-3,MARCA+ART,6,CHALADA,EDEL;PAO2;PAO3;PAO4,VESTIR,2024-09-02
CHALADA,5-MIU-7,SIN MATCH,0,,,,
CHALADA,5-OSLO-96,SIN MATCH,0,,,,
CHALADA,5-PHANIE-14,MARCA+ART,2,CHALADA,EDEL;PAO4,BOTA,2025-03-10
CHALADA,5-PHANIE-15,SIN MATCH,0,,,,
CHALADA,5-PLOS-66,SIN MATCH,0,,,,
CHALADA,5-REGENT-2,MARCA+ART,6,CHALADA,EDEL;PAO1;PAO2;PAO3,VESTIR,2018-10-17
CHALADA,5-REGGIA-5,SIN MATCH,0,,,,
CHALADA,5-REGGIA-6,SIN MATCH,0,,,,
CHALADA,50-CALAFATE-1,SIN MATCH,0,,,,
CHALADA,50-MAQUI-1,SIN MATCH,0,,,,
CHALADA,50-MOSQUETA-1,SIN MATCH,0,,,,
CHALADA,50-PALENA-1,SIN MATCH,0,,,,
CHALADA,50-PUELO-3,SIN MATCH,0,,,,
CHALADA,50-ROCKY-1,SIN MATCH,0,,,,
CHALADA,51-BALDI-1,MARCA+ART,6,CHALADA,EDEL;PAO4,CHALADA,2024-03-11
CHALADA,51-BALDI-2,SIN MATCH,0,,,,
CHALADA,51-BALDI-3,SIN MATCH,0,,,,
CHALADA,51-BALDI-4,SIN MATCH,0,,,,
CHALADA,51-BALDI-5,SIN MATCH,0,,,,
CHALADA,51-BICCARI-1,SIN MATCH,0,,,,
CHALADA,51-BICCARI-2,SIN MATCH,0,,,,
CHALADA,51-BOLSE-1,SIN MATCH,0,,,,
CHALADA,51-BOLSE-52,SIN MATCH,0,,,,
CHALADA,51-BRUNA-1,MARCA+ART,2,CHALADA,EDEL;PAO2,V NEGRO,2024-03-11
CHALADA,51-BRUNA-3,MARCA+ART,3,CHALADA,EDEL;PAO3;PAO4,V NEGRO,2025-03-25
CHALADA,51-CAMILLE-1,SIN MATCH,0,,,,
CHALADA,51-GIANNI-1,SIN MATCH,0,,,,
CHALADA,51-NEVE-1,SIN MATCH,0,,,,
CHALADA,59-MAIPO-1,SIN MATCH,0,,,,
CHALADA,59-TORTEL-1,SIN MATCH,0,,,,
CHALADA,7-DANA-2,SIN MATCH,0,,,,
CHALADA,7-DECO-11,MARCA+ART,3,CHALADA,EDEL;PAO3;PAO4,CALZADO,2025-03-03
CHALADA,7-DEZA-3,SIN MATCH,0,,,,
CHALADA,7-OSCAR-1,SIN MATCH,0,,,,
CHALADA,7-ROLO-4,MARCA+ART,3,CHALADA,EDEL;PAO2,BOTIN,2019-05-02
CHALADA,7-TAP-25,MARCA+ART,9,CHALADA,EDEL;PAO1;PAO2;PAO3;PAO4,VESTIR,2019-03-13
CHALADA,7-WINDY-2,MARCA+ART,2,CHALADA,EDEL;PAO4,CALZADO,2025-03-03
CHALADA,8-TANDA-200,MARCA+ART,2,CHALADA,EDEL;PAO2,BOTA,2024-03-18
CHALADA,8-TANDA-4,MARCA+ART,2,CHALADA,EDEL,BOTIN,2018-10-16
CHALADA,8-TANDA-5,MARCA+ART,4,CHALADA,EDEL;PAO1;PAO3,BOTA,2018-09-28
CHALADA,9-BRICCA-1,SIN MATCH,0,,,,
CHALADA,9-BRICCA-2,SIN MATCH,0,,,,
CHALADA,9-CETA-17,SIN MATCH,0,,,,
CHALADA,9-CETA-20,SIN MATCH,0,,,,
CHALADA,9-CETA-25,SIN MATCH,0,,,,
CHALADA,9-CETA-4,MARCA+ART,4,CHALADA,EDEL;PAO1;PAO2,BOTIN,2018-08-20
CHALADA,9-QUAL-5,SIN MATCH,0,,,,
CHALADA,9-TRINI-2,SIN MATCH,0,,,,
ECCOFLEX,B68F11012,SIN MATCH,0,,,,
ECCOFLEX,FA4682,SIN MATCH,0,,,,
ECCOFLEX,FA5793-90,SIN MATCH,0,,,,
ECCOFLEX,FABI49,SIN MATCH,0,,,,
ECCOFLEX,FABI69,SIN MATCH,0,,,,
ECCOFLEX,FABI78,SIN MATCH,0,,,,
ECCOFLEX,FAMA04,SIN MATCH,0,,,,
ECCOFLEX,FAMA13,SIN MATCH,0,,,,
ECCOFLEX,FAMA93,SIN MATCH,0,,,,
ECCOFLEX,FAMAC6,SIN MATCH,0,,,,
ECCOFLEX,FAMAM7,SIN MATCH,0,,,,
ECCOFLEX,FAMAZ5,SIN MATCH,0,,,,
ECCOFLEX,FAUBO46,SIN MATCH,0,,,,
ECCOFLEX,FBA122,SIN MATCH,0,,,,
ECCOFLEX,FBA124,SIN MATCH,0,,,,
ECCOFLEX,FBC256-90,SIN MATCH,0,,,,
ECCOFLEX,FBC257,SIN MATCH,0,,,,
ECCOFLEX,FCH8951,SOLO ART,1,NEW WALK,EDEL,ZAPATO DAMA,2025-04-08
ECCOFLEX,FER37,SIN MATCH,0,,,,
ECCOFLEX,FER37-B,SIN MATCH,0,,,,
ECCOFLEX,FER38-A,SIN MATCH,0,,,,
ECCOFLEX,FHB477,SIN MATCH,0,,,,
ECCOFLEX,FHB582,SIN MATCH,0,,,,
ECCOFLEX,FHB588,SIN MATCH,0,,,,
ECCOFLEX,FHEN68,SIN MATCH,0,,,,
ECCOFLEX,FHEN90,SIN MATCH,0,,,,
ECCOFLEX,FHENA05,SIN MATCH,0,,,,
ECCOFLEX,FLIPON6,SIN MATCH,0,,,,
ECCOFLEX,FM5575A,SIN MATCH,0,,,,
ECCOFLEX,FM5575D,SIN MATCH,0,,,,
ECCOFLEX,FM5575NW,SIN MATCH,0,,,,
ECCOFLEX,FM5575PU,SIN MATCH,0,,,,
ECCOFLEX,FM5575PU-B,SIN MATCH,0,,,,
ECCOFLEX,FM55FLUF,SIN MATCH,0,,,,
ECCOFLEX,FM55SLIP,SIN MATCH,0,,,,
